pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
2048,n<=16,sr>70%,kvB<=1k,kp<=8k,0.2278,2
2048,n<=16,sr>70%,kvB<=1k,kp=0,0.6395,2
2048,n<=16,sr>70%,kvB<=4k,kp<=4k,-0.5046,2
2048,n<=16,sr>70%,kvB<=4k,kp<=512,0.1745,2
2048,n<=16,sr>70%,kvB<=4k,kp<=8k,-0.2927,2
2048,n<=16,sr>70%,kvB<=4k,kp=0,0.2092,2
2048,n<=2,sr<=70%,kvB<=1k,kp<=4k,8.2868,1
2048,n<=2,sr<=70%,kvB<=1k,kp<=8k,2.6588,1
2048,n<=2,sr<=70%,kvB<=1k,kp=0,0.5026,1
2048,n<=2,sr<=70%,kvB<=4k,kp<=4k,-0.1404,1
2048,n<=2,sr<=70%,kvB<=4k,kp<=8k,0.3536,1
2048,n<=2,sr<=70%,kvB<=4k,kp=0,-0.2548,1
